               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.038239,           0.0094804,                   0,             0.99028,             0.96296,             0.98955,             0.67946,            0.031036,            0.004962,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.032338,           0.0080806,                   0,             0.96014,             0.88889,             0.97652,             0.63066,             0.03651,           0.0048294,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.025873,           0.0078594,                   0,             0.98861,             0.96296,             0.98955,             0.71135,             0.02977,            0.004775,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.029166,           0.0073261,                   0,             0.92267,             0.96296,             0.98592,             0.66377,             0.02783,           0.0048265,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.026388,           0.0071837,                   0,                   1,             0.99495,               0.995,             0.60948,            0.031337,           0.0045319,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.032069,           0.0084107,                   0,             0.92512,             0.96296,             0.96941,             0.56022,            0.033042,           0.0047245,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.029841,           0.0077201,                   0,              0.9199,             0.96296,               0.975,             0.62821,            0.037178,           0.0046816,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.030752,           0.0093761,                   0,             0.92158,             0.96296,             0.98558,             0.71938,            0.029575,           0.0047255,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.030921,            0.010582,                   0,                   1,             0.99752,               0.995,             0.71052,            0.027702,           0.0045223,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.031896,            0.008511,                   0,             0.92565,             0.92232,             0.95221,             0.62646,            0.039048,           0.0044956,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.028889,           0.0070223,                   0,              0.8647,             0.94715,             0.96895,             0.65245,            0.030672,           0.0045023,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.030795,            0.009328,                   0,             0.99725,                   1,               0.995,              0.6998,            0.028459,           0.0042915,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.025339,           0.0063456,                   0,             0.99506,                   1,               0.995,             0.59809,            0.027591,           0.0041895,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.031282,            0.006306,                   0,             0.99781,                   1,               0.995,             0.66389,            0.033499,           0.0042114,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.029755,           0.0084651,                   0,             0.96398,             0.99157,             0.99107,             0.60153,            0.029583,           0.0041685,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.02802,            0.006451,                   0,             0.96087,                   1,              0.9925,             0.67412,            0.029447,           0.0041513,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.027425,            0.008893,                   0,             0.99761,                   1,               0.995,             0.70615,            0.024178,           0.0041552,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.023857,           0.0059319,                   0,             0.95825,                   1,             0.99393,             0.67427,            0.030085,           0.0040922,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.027169,           0.0063515,                   0,                   1,             0.99994,               0.995,             0.67613,            0.031655,           0.0040865,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.026402,           0.0064605,                   0,             0.99828,                   1,               0.995,             0.64071,            0.029629,           0.0041704,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.030849,           0.0073299,                   0,             0.99651,                   1,               0.995,             0.71767,             0.02528,           0.0041132,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.026602,            0.006754,                   0,             0.99527,                   1,               0.995,             0.51205,            0.034608,           0.0041685,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.029216,            0.006111,                   0,              0.9945,                   1,               0.995,             0.63759,            0.031559,           0.0042181,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.026771,           0.0061952,                   0,             0.99368,                   1,               0.995,             0.67533,            0.028368,           0.0041151,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.024568,           0.0056211,                   0,             0.99493,                   1,               0.995,             0.71463,            0.025907,           0.0039644,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.027051,            0.008332,                   0,             0.99215,                   1,               0.995,             0.58823,            0.035452,           0.0040255,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.021446,           0.0052906,                   0,             0.92647,                   1,             0.98461,             0.64213,            0.028153,           0.0039988,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.024415,           0.0055883,                   0,                   1,             0.99402,               0.995,             0.70488,            0.025955,           0.0040493,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.027313,           0.0068796,                   0,             0.99752,                   1,               0.995,             0.70399,            0.024539,           0.0040255,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.025185,           0.0058158,                   0,             0.99935,                   1,               0.995,             0.68554,            0.026837,           0.0039845,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.026079,           0.0065404,                   0,             0.95431,                   1,             0.98857,             0.69789,            0.028727,           0.0038977,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.022237,           0.0046947,                   0,             0.99621,                   1,               0.995,             0.66536,            0.028747,           0.0039387,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.026793,           0.0063754,                   0,             0.99768,                   1,               0.995,             0.71907,            0.025304,           0.0040178,                   0,            0.007261,            0.007261,            0.007261
