,epoch_count,loss_values,test_loss_values
136,137,4.160173416137695,0.4886709153652191
137,138,4.007730960845947,0.47076496481895447
138,139,3.8608734607696533,0.45351487398147583
139,140,3.7193963527679443,0.43689557909965515
140,141,3.5831027030944824,0.4208866357803345
141,142,3.451805591583252,0.4054625928401947
142,143,3.325314998626709,0.39060524106025696
143,144,3.203463315963745,0.3762926161289215
144,145,3.0860769748687744,0.36250242590904236
145,146,2.9729881286621094,0.34921935200691223
146,147,2.864046096801758,0.3364235758781433
147,148,2.759099006652832,0.32409581542015076
148,149,2.657994270324707,0.31222036480903625
149,150,2.560595750808716,0.30077871680259705
150,151,2.4667656421661377,0.28975710272789
151,152,2.3763723373413086,0.2791382670402527
152,153,2.2892909049987793,0.26891008019447327
153,154,2.2054033279418945,0.25905513763427734
154,155,2.1245880126953125,0.24956180155277252
